iter	Passed	Remaining
680	971	455
681	972	453
682	974	452
683	975	450
684	976	448
685	977	447
686	978	445
687	979	444
688	981	442
689	982	441
690	983	439
691	984	438
692	986	436
693	987	435
694	988	433
695	989	432
696	990	430
697	992	429
698	993	427
699	994	426
700	995	424
701	996	423
702	998	421
703	999	420
704	1000	418
705	1001	417
706	1002	415
707	1004	414
708	1005	412
709	1006	411
710	1007	409
711	1008	408
712	1009	406
713	1011	405
714	1012	403
715	1013	401
716	1014	400
717	1015	399
718	1017	397
719	1018	395
720	1019	394
721	1021	393
722	1022	391
723	1023	390
724	1024	388
725	1025	387
726	1026	385
727	1027	383
728	1028	382
729	1030	381
730	1031	379
731	1032	378
732	1034	376
733	1035	375
734	1036	373
735	1037	372
736	1038	370
737	1040	369
738	1041	367
739	1042	366
740	1043	364
741	1044	363
742	1046	361
743	1047	360
744	1048	358
745	1049	357
746	1050	355
747	1052	354
748	1053	352
749	1054	351
750	1055	349
751	1056	348
752	1057	347
753	1059	345
754	1060	344
755	1061	342
756	1062	341
757	1063	339
758	1065	338
759	1066	336
760	1067	335
761	1068	333
762	1069	332
763	1070	330
764	1072	329
765	1073	327
766	1074	326
767	1075	324
768	1076	323
769	1078	322
770	1079	320
771	1081	319
772	1082	317
773	1083	316
774	1084	314
775	1085	313
776	1087	312
777	1088	310
778	1089	309
779	1090	307
780	1091	306
781	1092	304
782	1093	303
783	1095	301
784	1096	300
785	1097	298
786	1098	297
787	1099	295
788	1100	294
789	1101	292
790	1102	291
791	1103	289
792	1105	288
793	1106	287
794	1107	285
795	1108	284
796	1109	282
797	1110	281
798	1111	279
799	1112	278
800	1114	276
801	1115	275
802	1116	273
803	1117	272
804	1118	270
805	1119	269
806	1120	268
807	1122	266
808	1123	265
809	1124	263
810	1125	262
811	1126	260
812	1127	259
813	1128	257
814	1129	256
815	1130	254
816	1131	253
817	1132	252
818	1134	250
819	1135	249
820	1136	247
821	1137	246
822	1138	244
823	1139	243
824	1140	241
825	1141	240
826	1142	239
827	1144	237
828	1145	236
829	1146	234
830	1147	233
831	1148	231
832	1149	230
833	1151	229
834	1152	227
835	1153	226
836	1154	224
837	1155	223
838	1156	221
839	1157	220
840	1158	219
841	1160	217
842	1161	216
843	1162	214
844	1163	213
845	1164	212
846	1165	210
847	1166	209
848	1168	207
849	1169	206
850	1170	204
851	1171	203
852	1172	202
853	1173	200
854	1174	199
855	1175	197
856	1176	196
857	1177	194
858	1179	193
859	1180	192
860	1181	190
861	1182	189
862	1183	187
863	1184	186
864	1185	185
865	1186	183
866	1187	182
867	1189	180
868	1190	179
869	1191	177
870	1192	176
871	1193	175
872	1194	173
873	1195	172
874	1196	170
875	1198	169
876	1199	168
877	1200	166
878	1201	165
879	1202	164
880	1203	162
881	1205	161
882	1206	159
883	1207	158
884	1208	157
885	1209	155
886	1210	154
887	1211	152
888	1212	151
889	1214	150
890	1215	148
891	1216	147
892	1217	145
893	1218	144
894	1219	143
895	1220	141
896	1222	140
897	1223	138
898	1224	137
899	1225	136
900	1226	134
901	1227	133
902	1228	131
903	1229	130
904	1230	129
905	1232	127
906	1233	126
907	1234	125
908	1235	123
909	1236	122
910	1237	120
911	1238	119
912	1239	118
913	1240	116
914	1242	115
915	1243	113
916	1244	112
917	1245	111
918	1246	109
919	1247	108
920	1248	107
921	1249	105
922	1250	104
923	1251	102
924	1252	101
925	1254	100
926	1255	98
927	1256	97
928	1257	96
929	1258	94
930	1259	93
931	1260	91
932	1261	90
933	1262	89
934	1264	87
935	1265	86
936	1266	85
937	1267	83
938	1268	82
939	1269	81
940	1270	79
941	1271	78
942	1272	76
943	1274	75
944	1275	74
945	1276	72
946	1277	71
947	1278	70
948	1279	68
949	1280	67
950	1281	66
951	1283	64
952	1284	63
953	1285	61
954	1286	60
955	1287	59
956	1288	57
957	1289	56
958	1290	55
959	1291	53
960	1292	52
961	1293	51
962	1295	49
963	1296	48
964	1297	47
965	1298	45
966	1299	44
967	1300	43
968	1301	41
969	1302	40
970	1304	38
971	1305	37
972	1306	36
973	1307	34
974	1308	33
975	1309	32
976	1310	30
977	1312	29
978	1313	28
979	1314	26
980	1315	25
981	1316	24
982	1317	22
983	1318	21
984	1319	20
985	1321	18
986	1322	17
987	1323	16
988	1324	14
989	1325	13
990	1326	12
991	1327	10
992	1328	9
993	1329	8
994	1331	6
995	1332	5
996	1333	4
997	1334	2
998	1335	1
999	1336	0
